id,chapter,chunk,raw_text,clean_text,length,word_count,tfidf_cluster,embed_cluster,scene_label,emotion,spatial_keywords,motion_keywords,intensity,scene_order_param,narrative_family,motion_intensity_param
alice_ch03_c011,3,11,"`I shall be punished for it now, I suppose, by being drowned in my own tears! That WILL be a queer thing, to be sure! However, everything is queer to-day.' Just then she heard something splashing about in the pool a little way off, and she swam nearer to make out what it was: at first she thought it must be a walrus or hippopotamus, but then she remembered how small she was now, and she soon made out that it was only a mouse that had slipped in like herself. `Would it be of any use, now,' thought Alice, `to speak to this mouse? Everything is so out-of-the-way down here, that I should think very likely it can talk: at any rate, there's no harm in trying.' So she began: `O Mouse, do you know the way out of this pool?",i shall be punished for it now i suppose by being drowned in my own tears that will be a queer thing to be sure however everything is queer to day just then she heard something splashing about in the pool a little way off and she swam nearer to make out what it was at first she thought it must be a walrus or hippopotamus but then she remembered how small she was now and she soon made out that it was only a mouse that had slipped in like herself would it be of any use now thought alice to speak to this mouse everything is so out of the way down here that i should think very likely it can talk at any rate there s no harm in trying so she began o mouse do you know the way out of this pool,694,147,2,2,dream_fall,anxious,"['submerged', 'enclosed', 'small-scale']","['splashing', 'swimming', 'sloshing']",0.6,6.25,2,0.6666666666666665
alice_ch03_c012,3,12,"I am very tired of swimming about here, O Mouse!' (Alice thought this must be the right way of speaking to a mouse: she had never done such a thing before, but she remembered having seen in her brother's Latin Grammar, `A mouse--of a mouse--to a mouse--a mouse--O mouse!' The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing. `Perhaps it doesn't understand English,' thought Alice; `I daresay it's a French mouse, come over with William the Conqueror.' (For, with all her knowledge of history, Alice had no very clear notion how long ago anything had happened.) So she began again: `Ou est ma chatte?' which was the first sentence in her French lesson-book.",i am very tired of swimming about here o mouse alice thought this must be the right way of speaking to a mouse she had never done such a thing before but she remembered having seen in her brother s latin grammar a mouse of a mouse to a mouse a mouse o mouse the mouse looked at her rather inquisitively and seemed to her to wink with one of its little eyes but it said nothing perhaps it doesn t understand english thought alice i daresay it s a french mouse come over with william the conqueror for with all her knowledge of history alice had no very clear notion how long ago anything had happened so she began again ou est ma chatte which was the first sentence in her french lesson book,690,135,2,2,nonsense,curious,"['enclosed', 'horizontal', 'expansive']","['drifting', 'floating', 'undulating']",0.2,6.875,2,0.0
alice_ch03_c013,3,13,"The Mouse gave a sudden leap out of the water, and seemed to quiver all over with fright. `Oh, I beg your pardon!' cried Alice hastily, afraid that she had hurt the poor animal's feelings. `I quite forgot you didn't like cats.' `Not like cats!' cried the Mouse, in a shrill, passionate voice. `Would YOU like cats if you were me?' `Well, perhaps not,' said Alice in a soothing tone: `don't be angry about it. And yet I wish I could show you our cat Dinah: I think you'd take a fancy to cats if you could only see her.",the mouse gave a sudden leap out of the water and seemed to quiver all over with fright oh i beg your pardon cried alice hastily afraid that she had hurt the poor animal s feelings i quite forgot you didn t like cats not like cats cried the mouse in a shrill passionate voice would you like cats if you were me well perhaps not said alice in a soothing tone don t be angry about it and yet i wish i could show you our cat dinah i think you d take a fancy to cats if you could only see her,488,104,2,2,rabbit_hole,anxious,"['enclosed', 'shallow', 'undulating']","['leaping', 'quivering', 'splashing']",0.4,7.5,2,0.3333333333333333
alice_ch03_c014,3,14,"She is such a dear quiet thing,' Alice went on, half to herself, as she swam lazily about in the pool, `and she sits purring so nicely by the fire, licking her paws and washing her face--and she is such a nice soft thing to nurse--and she's such a capital one for catching mice--oh, I beg your pardon!' cried Alice again, for this time the Mouse was bristling all over, and she felt certain it must be really offended. `We won't talk about her any more if you'd rather not.' `We indeed!' cried the Mouse, who was trembling down to the end of his tail. `As if I would talk on such a subject! Our family always HATED cats: nasty, low, vulgar things! Don't let me hear the name again!' `I won't indeed!' said Alice, in a great hurry to change the subject of conversation.",she is such a dear quiet thing alice went on half to herself as she swam lazily about in the pool and she sits purring so nicely by the fire licking her paws and washing her face and she is such a nice soft thing to nurse and she s such a capital one for catching mice oh i beg your pardon cried alice again for this time the mouse was bristling all over and she felt certain it must be really offended we won t talk about her any more if you d rather not we indeed cried the mouse who was trembling down to the end of his tail as if i would talk on such a subject our family always hated cats nasty low vulgar things don t let me hear the name again i won t indeed said alice in a great hurry to change the subject of conversation,731,153,2,2,nonsense,anxious,"['horizontal', 'fluid', 'bounded']","['swimming', 'trembling', 'drifting']",0.4,8.125,2,0.3333333333333333
alice_ch03_c015,3,15,"`Are you--are you fond--of--of dogs?' The Mouse did not answer, so Alice went on eagerly: `There is such a nice little dog near our house I should like to show you! A little bright-eyed terrier, you know, with oh, such long curly brown hair! And it'll fetch things when you throw them, and it'll sit up and beg for its dinner, and all sorts of things--I can't remember half of them--and it belongs to a farmer, you know, and he says it's so useful, it's worth a hundred pounds! He says it kills all the rats and--oh dear!' cried Alice in a sorrowful tone, `I'm afraid I've offended it again!' For the Mouse was swimming away from her as hard as it could go, and making quite a commotion in the pool as it went. So she called softly after it, `Mouse dear!",are you are you fond of of dogs the mouse did not answer so alice went on eagerly there is such a nice little dog near our house i should like to show you a little bright eyed terrier you know with oh such long curly brown hair and it ll fetch things when you throw them and it ll sit up and beg for its dinner and all sorts of things i can t remember half of them and it belongs to a farmer you know and he says it s so useful it s worth a hundred pounds he says it kills all the rats and oh dear cried alice in a sorrowful tone i m afraid i ve offended it again for the mouse was swimming away from her as hard as it could go and making quite a commotion in the pool as it went so she called softly after it mouse dear,720,157,2,2,nonsense,anxious,"['expansive', 'shallow', 'bounded']","['swimming', 'splashing', 'rippling']",0.5,8.75,2,0.4999999999999999
alice_ch03_c016,3,16,"Do come back again, and we won't talk about cats or dogs either, if you don't like them!' When the Mouse heard this, it turned round and swam slowly back to her: its face was quite pale (with passion, Alice thought), and it said in a low trembling voice, `Let us get to the shore, and then I'll tell you my history, and you'll understand why it is I hate cats and dogs.' It was high time to go, for the pool was getting quite crowded with the birds and animals that had fallen into it: there were a Duck and a Dodo, a Lory and an Eaglet, and several other curious creatures. Alice led the way, and the whole party swam to the shore.",do come back again and we won t talk about cats or dogs either if you don t like them when the mouse heard this it turned round and swam slowly back to her its face was quite pale with passion alice thought and it said in a low trembling voice let us get to the shore and then i ll tell you my history and you ll understand why it is i hate cats and dogs it was high time to go for the pool was getting quite crowded with the birds and animals that had fallen into it there were a duck and a dodo a lory and an eaglet and several other curious creatures alice led the way and the whole party swam to the shore,609,129,2,2,dream_fall,anxious,"['curved', 'horizontal', 'bounded']","['swimming', 'drifting', 'converging']",0.6,9.375,2,0.6666666666666665
alice_ch04_c001,4,1,"A Caucus-Race and a Long Tale They were indeed a queer-looking party that assembled on the bank--the birds with draggled feathers, the animals with their fur clinging close to them, and all dripping wet, cross, and uncomfortable. The first question of course was, how to get dry again: they had a consultation about this, and after a few minutes it seemed quite natural to Alice to find herself talking familiarly with them, as if she had known them all her life. Indeed, she had quite a long argument with the Lory, who at last turned sulky, and would only say, `I am older than you, and must know better'; and this Alice would not allow without knowing how old it was, and, as the Lory positively refused to tell its age, there was no more to be said.",a caucus race and a long tale they were indeed a queer looking party that assembled on the bank the birds with draggled feathers the animals with their fur clinging close to them and all dripping wet cross and uncomfortable the first question of course was how to get dry again they had a consultation about this and after a few minutes it seemed quite natural to alice to find herself talking familiarly with them as if she had known them all her life indeed she had quite a long argument with the lory who at last turned sulky and would only say i am older than you and must know better and this alice would not allow without knowing how old it was and as the lory positively refused to tell its age there was no more to be said,730,141,0,2,nonsense,absurd,"['open', 'horizontal', 'irregular']","['dripping', 'clinging', 'converging']",0.35,0.0,2,0.24999999999999992
alice_ch04_c002,4,2,"At last the Mouse, who seemed to be a person of authority among them, called out, `Sit down, all of you, and listen to me! I'LL soon make you dry enough!' They all sat down at once, in a large ring, with the Mouse in the middle. Alice kept her eyes anxiously fixed on it, for she felt sure she would catch a bad cold if she did not get dry very soon. `Ahem!' said the Mouse with an important air, `are you all ready? This is the driest thing I know. Silence all round, if you please! ""William the Conqueror, whose cause was favoured by the pope, was soon submitted to by the English, who wanted leaders, and had been of late much accustomed to usurpation and conquest. Edwin and Morcar, the earls of Mercia and Northumbria--""' `Ugh!' said the Lory, with a shiver.",at last the mouse who seemed to be a person of authority among them called out sit down all of you and listen to me i ll soon make you dry enough they all sat down at once in a large ring with the mouse in the middle alice kept her eyes anxiously fixed on it for she felt sure she would catch a bad cold if she did not get dry very soon ahem said the mouse with an important air are you all ready this is the driest thing i know silence all round if you please william the conqueror whose cause was favoured by the pope was soon submitted to by the english who wanted leaders and had been of late much accustomed to usurpation and conquest edwin and morcar the earls of mercia and northumbria ugh said the lory with a shiver,724,146,2,4,nonsense,anxious,"['circular', 'ring-shaped', 'planar']","['settling', 'trembling', 'converging']",0.4,0.625,4,0.3333333333333333
alice_ch04_c003,4,3,"`I beg your pardon!' said the Mouse, frowning, but very politely: `Did you speak?' `Not I!' said the Lory hastily. `I thought you did,' said the Mouse. `--I proceed. ""Edwin and Morcar, the earls of Mercia and Northumbria, declared for him: and even Stigand, the patriotic archbishop of Canterbury, found it advisable--""' `Found WHAT?' said the Duck. `Found IT,' the Mouse replied rather crossly: `of course you know what ""it"" means.' `I know what ""it"" means well enough, when I find a thing,' said the Duck: `it's generally a frog or a worm. The question is, what did the archbishop find?' The Mouse did not notice this question, but hurriedly went on, `""--found it advisable to go with Edgar Atheling to meet William and offer him the crown. William's conduct at first was moderate.",i beg your pardon said the mouse frowning but very politely did you speak not i said the lory hastily i thought you did said the mouse i proceed edwin and morcar the earls of mercia and northumbria declared for him and even stigand the patriotic archbishop of canterbury found it advisable found what said the duck found it the mouse replied rather crossly of course you know what it means i know what it means well enough when i find a thing said the duck it s generally a frog or a worm the question is what did the archbishop find the mouse did not notice this question but hurriedly went on found it advisable to go with edgar atheling to meet william and offer him the crown william s conduct at first was moderate,719,136,2,3,nonsense,absurd,"['flat', 'linear', 'confined']","['drifting', 'shuffling', 'swaying']",0.2,1.25,3,0.0
alice_ch04_c004,4,4,"But the insolence of his Normans--"" How are you getting on now, my dear?' it continued, turning to Alice as it spoke. `As wet as ever,' said Alice in a melancholy tone: `it doesn't seem to dry me at all.' `In that case,' said the Dodo solemnly, rising to its feet, `I move that the meeting adjourn, for the immediate adoption of more energetic remedies--' `Speak English!' said the Eaglet. `I don't know the meaning of half those long words, and, what's more, I don't believe you do either!' And the Eaglet bent down its head to hide a smile: some of the other birds tittered audibly.",but the insolence of his normans how are you getting on now my dear it continued turning to alice as it spoke as wet as ever said alice in a melancholy tone it doesn t seem to dry me at all in that case said the dodo solemnly rising to its feet i move that the meeting adjourn for the immediate adoption of more energetic remedies speak english said the eaglet i don t know the meaning of half those long words and what s more i don t believe you do either and the eaglet bent down its head to hide a smile some of the other birds tittered audibly,547,111,2,3,nonsense,absurd,"['circular', 'low-to-ground', 'scattered']","['turning', 'rising', 'bending']",0.3,1.875,3,0.1666666666666666
alice_ch04_c005,4,5,"`What I was going to say,' said the Dodo in an offended tone, `was, that the best thing to get us dry would be a Caucus-race.' `What IS a Caucus-race?' said Alice; not that she wanted much to know, but the Dodo had paused as if it thought that SOMEBODY ought to speak, and no one else seemed inclined to say anything. `Why,' said the Dodo, `the best way to explain it is to do it.' (And, as you might like to try the thing yourself, some winter day, I will tell you how the Dodo managed it.) First it marked out a race-course, in a sort of circle, (`the exact shape doesn't matter,' it said,) and then all the party were placed along the course, here and there.",what i was going to say said the dodo in an offended tone was that the best thing to get us dry would be a caucus race what is a caucus race said alice not that she wanted much to know but the dodo had paused as if it thought that somebody ought to speak and no one else seemed inclined to say anything why said the dodo the best way to explain it is to do it and as you might like to try the thing yourself some winter day i will tell you how the dodo managed it first it marked out a race course in a sort of circle the exact shape doesn t matter it said and then all the party were placed along the course here and there,623,133,2,2,nonsense,playful,"['circular', 'irregular', 'scattered']","['circling', 'looping', 'scattering']",0.25,2.5,2,0.0833333333333333
alice_ch04_c006,4,6,"There was no `One, two, three, and away,' but they began running when they liked, and left off when they liked, so that it was not easy to know when the race was over. However, when they had been running half an hour or so, and were quite dry again, the Dodo suddenly called out `The race is over!' and they all crowded round it, panting, and asking, `But who has won?' This question the Dodo could not answer without a great deal of thought, and it sat for a long time with one finger pressed upon its forehead (the position in which you usually see Shakespeare, in the pictures of him), while the rest waited in silence. At last the Dodo said, `EVERYBODY has won, and all must have prizes.' `But who is to give the prizes?' quite a chorus of voices asked.",there was no one two three and away but they began running when they liked and left off when they liked so that it was not easy to know when the race was over however when they had been running half an hour or so and were quite dry again the dodo suddenly called out the race is over and they all crowded round it panting and asking but who has won this question the dodo could not answer without a great deal of thought and it sat for a long time with one finger pressed upon its forehead the position in which you usually see shakespeare in the pictures of him while the rest waited in silence at last the dodo said everybody has won and all must have prizes but who is to give the prizes quite a chorus of voices asked,721,144,2,4,nonsense,absurd,"['open', 'circular', 'irregular']","['circulating', 'halting', 'converging']",0.4,3.125,4,0.3333333333333333
alice_ch04_c007,4,7,"`Why, SHE, of course,' said the Dodo, pointing to Alice with one finger; and the whole party at once crowded round her, calling out in a confused way, `Prizes! Prizes!' Alice had no idea what to do, and in despair she put her hand in her pocket, and pulled out a box of comfits, (luckily the salt water had not got into it), and handed them round as prizes. There was exactly one a-piece all round. `But she must have a prize herself, you know,' said the Mouse. `Of course,' the Dodo replied very gravely. `What else have you got in your pocket?' he went on, turning to Alice. `Only a thimble,' said Alice sadly. `Hand it over here,' said the Dodo.",why she of course said the dodo pointing to alice with one finger and the whole party at once crowded round her calling out in a confused way prizes prizes alice had no idea what to do and in despair she put her hand in her pocket and pulled out a box of comfits luckily the salt water had not got into it and handed them round as prizes there was exactly one a piece all round but she must have a prize herself you know said the mouse of course the dodo replied very gravely what else have you got in your pocket he went on turning to alice only a thimble said alice sadly hand it over here said the dodo,605,123,2,2,nonsense,chaotic,"['circular', 'radial', 'dense']","['converging', 'circling', 'jostling']",0.6,3.75,2,0.6666666666666665
alice_ch04_c008,4,8,"Then they all crowded round her once more, while the Dodo solemnly presented the thimble, saying `We beg your acceptance of this elegant thimble'; and, when it had finished this short speech, they all cheered. Alice thought the whole thing very absurd, but they all looked so grave that she did not dare to laugh; and, as she could not think of anything to say, she simply bowed, and took the thimble, looking as solemn as she could. The next thing was to eat the comfits: this caused some noise and confusion, as the large birds complained that they could not taste theirs, and the small ones choked and had to be patted on the back. However, it was over at last, and they sat down again in a ring, and begged the Mouse to tell them something more.",then they all crowded round her once more while the dodo solemnly presented the thimble saying we beg your acceptance of this elegant thimble and when it had finished this short speech they all cheered alice thought the whole thing very absurd but they all looked so grave that she did not dare to laugh and as she could not think of anything to say she simply bowed and took the thimble looking as solemn as she could the next thing was to eat the comfits this caused some noise and confusion as the large birds complained that they could not taste theirs and the small ones choked and had to be patted on the back however it was over at last and they sat down again in a ring and begged the mouse to tell them something more,726,139,2,2,tea_party,absurd,"['ring-shaped', 'planar', 'compact']","['converging', 'jostling', 'settling']",0.35,4.375,2,0.24999999999999992
alice_ch04_c009,4,9,"`You promised to tell me your history, you know,' said Alice, `and why it is you hate--C and D,' she added in a whisper, half afraid that it would be offended again. `Mine is a long and a sad tale!' said the Mouse, turning to Alice, and sighing. `It IS a long tail, certainly,' said Alice, looking down with wonder at the Mouse's tail; `but why do you call it sad?' And she kept on puzzling about it while the Mouse was speaking, so that her idea of the tale was something like this:-- `Fury said to a mouse, That he met in the house, ""Let us both go to law: I will prosecute YOU.",you promised to tell me your history you know said alice and why it is you hate c and d she added in a whisper half afraid that it would be offended again mine is a long and a sad tale said the mouse turning to alice and sighing it is a long tail certainly said alice looking down with wonder at the mouse s tail but why do you call it sad and she kept on puzzling about it while the mouse was speaking so that her idea of the tale was something like this fury said to a mouse that he met in the house let us both go to law i will prosecute you,544,117,2,2,court,curious,"['elongated', 'linear', 'confined']","['rotating', 'leaning', 'dangling']",0.25,5.0,2,0.0833333333333333
alice_ch04_c010,4,10,"--Come, I'll take no denial; We must have a trial: For really this morning I've nothing to do."" Said the mouse to the cur, ""Such a trial, dear Sir, With no jury or judge, would be wasting our breath."" ""I'll be judge, I'll be jury,"" Said cunning old Fury: ""I'll try the whole cause, and condemn you to death.""' `You are not attending!' said the Mouse to Alice severely. `What are you thinking of?' `I beg your pardon,' said Alice very humbly: `you had got to the fifth bend, I think?' `I had NOT!' cried the Mouse, sharply and very angrily. `A knot!' said Alice, always ready to make herself useful, and looking anxiously about her. `Oh, do let me help to undo it!' `I shall do nothing of the sort,' said the Mouse, getting up and walking away.",come i ll take no denial we must have a trial for really this morning i ve nothing to do said the mouse to the cur such a trial dear sir with no jury or judge would be wasting our breath i ll be judge i ll be jury said cunning old fury i ll try the whole cause and condemn you to death you are not attending said the mouse to alice severely what are you thinking of i beg your pardon said alice very humbly you had got to the fifth bend i think i had not cried the mouse sharply and very angrily a knot said alice always ready to make herself useful and looking anxiously about her oh do let me help to undo it i shall do nothing of the sort said the mouse getting up and walking away,684,144,2,4,court,tense,"['curved', 'narrow', 'irregular']","['receding', 'rotating', 'contracting']",0.7,5.625,4,0.8333333333333331
alice_ch04_c011,4,11,"`You insult me by talking such nonsense!' `I didn't mean it!' pleaded poor Alice. `But you're so easily offended, you know!' The Mouse only growled in reply. `Please come back and finish your story!' Alice called after it; and the others all joined in chorus, `Yes, please do!' but the Mouse only shook its head impatiently, and walked a little quicker. `What a pity it wouldn't stay!' sighed the Lory, as soon as it was quite out of sight; and an old Crab took the opportunity of saying to her daughter `Ah, my dear! Let this be a lesson to you never to lose YOUR temper!' `Hold your tongue, Ma!' said the young Crab, a little snappishly. `You're enough to try the patience of an oyster!' `I wish I had our Dinah here, I know I do!' said Alice aloud, addressing nobody in particular.",you insult me by talking such nonsense i didn t mean it pleaded poor alice but you re so easily offended you know the mouse only growled in reply please come back and finish your story alice called after it and the others all joined in chorus yes please do but the mouse only shook its head impatiently and walked a little quicker what a pity it wouldn t stay sighed the lory as soon as it was quite out of sight and an old crab took the opportunity of saying to her daughter ah my dear let this be a lesson to you never to lose your temper hold your tongue ma said the young crab a little snappishly you re enough to try the patience of an oyster i wish i had our dinah here i know i do said alice aloud addressing nobody in particular,736,148,2,2,nonsense,absurd,"['flat', 'open', 'clustered']","['drifting', 'scattering', 'shaking']",0.25,6.25,2,0.0833333333333333
alice_ch04_c012,4,12,"`She'd soon fetch it back!' `And who is Dinah, if I might venture to ask the question?' said the Lory. Alice replied eagerly, for she was always ready to talk about her pet: `Dinah's our cat. And she's such a capital one for catching mice you can't think! And oh, I wish you could see her after the birds! Why, she'll eat a little bird as soon as look at it!' This speech caused a remarkable sensation among the party. Some of the birds hurried off at once: one old Magpie began wrapping itself up very carefully, remarking, `I really must be getting home; the night-air doesn't suit my throat!' and a Canary called out in a trembling voice to its children, `Come away, my dears! It's high time you were all in bed!' On various pretexts they all moved off, and Alice was soon left alone.",she d soon fetch it back and who is dinah if i might venture to ask the question said the lory alice replied eagerly for she was always ready to talk about her pet dinah s our cat and she s such a capital one for catching mice you can t think and oh i wish you could see her after the birds why she ll eat a little bird as soon as look at it this speech caused a remarkable sensation among the party some of the birds hurried off at once one old magpie began wrapping itself up very carefully remarking i really must be getting home the night air doesn t suit my throat and a canary called out in a trembling voice to its children come away my dears it s high time you were all in bed on various pretexts they all moved off and alice was soon left alone,753,155,2,2,nonsense,anxious,"['open', 'clustered', 'horizontal']","['scattering', 'flitting', 'departing']",0.35,6.875,2,0.24999999999999992
alice_ch04_c013,4,13,"`I wish I hadn't mentioned Dinah!' she said to herself in a melancholy tone. `Nobody seems to like her, down here, and I'm sure she's the best cat in the world! Oh, my dear Dinah! I wonder if I shall ever see you any more!' And here poor Alice began to cry again, for she felt very lonely and low-spirited. In a little while, however, she again heard a little pattering of footsteps in the distance, and she looked up eagerly, half hoping that the Mouse had changed his mind, and was coming back to finish his story.",i wish i hadn t mentioned dinah she said to herself in a melancholy tone nobody seems to like her down here and i m sure she s the best cat in the world oh my dear dinah i wonder if i shall ever see you any more and here poor alice began to cry again for she felt very lonely and low spirited in a little while however she again heard a little pattering of footsteps in the distance and she looked up eagerly half hoping that the mouse had changed his mind and was coming back to finish his story,496,102,2,2,rabbit_hole,anxious,"['enclosed', 'subterranean', 'confined']","['echoing', 'rising', 'stirring']",0.35,7.5,2,0.24999999999999992
alice_ch05_c001,5,1,"The Rabbit Sends in a Little Bill It was the White Rabbit, trotting slowly back again, and looking anxiously about as it went, as if it had lost something; and she heard it muttering to itself `The Duchess! The Duchess! Oh my dear paws! Oh my fur and whiskers! She'll get me executed, as sure as ferrets are ferrets! Where CAN I have dropped them, I wonder?' Alice guessed in a moment that it was looking for the fan and the pair of white kid gloves, and she very good-naturedly began hunting about for them, but they were nowhere to be seen--everything seemed to have changed since her swim in the pool, and the great hall, with the glass table and the little door, had vanished completely.",the rabbit sends in a little bill it was the white rabbit trotting slowly back again and looking anxiously about as it went as if it had lost something and she heard it muttering to itself the duchess the duchess oh my dear paws oh my fur and whiskers she ll get me executed as sure as ferrets are ferrets where can i have dropped them i wonder alice guessed in a moment that it was looking for the fan and the pair of white kid gloves and she very good naturedly began hunting about for them but they were nowhere to be seen everything seemed to have changed since her swim in the pool and the great hall with the glass table and the little door had vanished completely,670,130,2,2,transformation,anxious,"['enclosed', 'labyrinthine', 'compressed']","['dissolving', 'shifting', 'fragmenting']",0.6,0.0,2,0.6666666666666665
alice_ch05_c002,5,2,"Very soon the Rabbit noticed Alice, as she went hunting about, and called out to her in an angry tone, `Why, Mary Ann, what ARE you doing out here? Run home this moment, and fetch me a pair of gloves and a fan! Quick, now!' And Alice was so much frightened that she ran off at once in the direction it pointed to, without trying to explain the mistake it had made. `He took me for his housemaid,' she said to herself as she ran. `How surprised he'll be when he finds out who I am! But I'd better take him his fan and gloves--that is, if I can find them.' As she said this, she came upon a neat little house, on the door of which was a bright brass plate with the name `W. RABBIT' engraved upon it.",very soon the rabbit noticed alice as she went hunting about and called out to her in an angry tone why mary ann what are you doing out here run home this moment and fetch me a pair of gloves and a fan quick now and alice was so much frightened that she ran off at once in the direction it pointed to without trying to explain the mistake it had made he took me for his housemaid she said to herself as she ran how surprised he ll be when he finds out who i am but i d better take him his fan and gloves that is if i can find them as she said this she came upon a neat little house on the door of which was a bright brass plate with the name w rabbit engraved upon it,667,143,2,2,rabbit_hole,anxious,"['narrow', 'enclosed', 'linear']","['linear_translation', 'accelerating', 'abrupt_stop']",0.6,0.625,2,0.6666666666666665
alice_ch05_c003,5,3,"She went in without knocking, and hurried upstairs, in great fear lest she should meet the real Mary Ann, and be turned out of the house before she had found the fan and gloves. `How queer it seems,' Alice said to herself, `to be going messages for a rabbit! I suppose Dinah'll be sending me on messages next!' And she began fancying the sort of thing that would happen: `""Miss Alice! Come here directly, and get ready for your walk!"" ""Coming in a minute, nurse!",she went in without knocking and hurried upstairs in great fear lest she should meet the real mary ann and be turned out of the house before she had found the fan and gloves how queer it seems alice said to herself to be going messages for a rabbit i suppose dinah ll be sending me on messages next and she began fancying the sort of thing that would happen miss alice come here directly and get ready for your walk coming in a minute nurse,440,86,2,2,corridor,anxious,"['vertical', 'narrow', 'enclosed']","['ascending', 'rapid_translation', 'punctuated_pauses']",0.6,1.25,2,0.6666666666666665
alice_ch05_c004,5,4,"But I've got to see that the mouse doesn't get out."" Only I don't think,' Alice went on, `that they'd let Dinah stop in the house if it began ordering people about like that!' By this time she had found her way into a tidy little room with a table in the window, and on it (as she had hoped) a fan and two or three pairs of tiny white kid gloves: she took up the fan and a pair of the gloves, and was just going to leave the room, when her eye fell upon a little bottle that stood near the looking- glass. There was no label this time with the words `DRINK ME,' but nevertheless she uncorked it and put it to her lips. `I know SOMETHING interesting is sure to happen,' she said to herself, `whenever I eat or drink anything; so I'll just see what this bottle does.",but i ve got to see that the mouse doesn t get out only i don t think alice went on that they d let dinah stop in the house if it began ordering people about like that by this time she had found her way into a tidy little room with a table in the window and on it as she had hoped a fan and two or three pairs of tiny white kid gloves she took up the fan and a pair of the gloves and was just going to leave the room when her eye fell upon a little bottle that stood near the looking glass there was no label this time with the words drink me but nevertheless she uncorked it and put it to her lips i know something interesting is sure to happen she said to herself whenever i eat or drink anything so i ll just see what this bottle does,737,158,2,2,transformation,curious,"['compact', 'enclosed', 'low-ceiling']","['tilting', 'reaching', 'shrinking']",0.6,1.875,2,0.6666666666666665
